Application ID,Age,Gender,Marital Status (at the time of application),No of dependents,Income,Education,Profession ,Type of residence,No of months in current residence,No of months in current company,Performance Tag
954457215,48,F,Married,2,40,Bachelor,SAL,Rented,113,56,0
432830445,31,M,Married,4,55,Professional,SE_PROF,Rented,112,46,0
941387308,32,M,Single,2,46,Bachelor,SE_PROF,Rented,104,49,0
392161677,43,M,Married,1,53,Bachelor,SE,Rented,94,53,0
182011211,35,F,Married,5,44,Professional,SAL,Rented,112,43,0
312196805,20,M,Married,1,39,Bachelor,SAL,,116,52,0
532217204,42,M,Married,2,55,Professional,SAL,Rented,104,41,0
74788849,34,M,Married,2,49,Masters,SE_PROF,Rented,108,40,0
782743811,30,M,Married,3,48,Phd,SAL,Rented,115,58,0
96964957,22,M,Single,1,38,Bachelor,SE_PROF,Rented,111,57,0
547975524,37,M,Married,1,43,Bachelor,SAL,Rented,112,46,0
521995234,41,M,Married,2,53,Phd,SAL,Rented,90,56,0
896612622,32,M,Married,5,51,Professional,SE_PROF,Rented,83,46,0
179296033,38,M,Married,4,54,Bachelor,SE_PROF,Rented,106,50,0
951198562,33,M,Married,2,50,Bachelor,SAL,Owned,108,40,0
268129376,45,F,Married,5,44,Bachelor,SAL,Rented,81,123,0
229994022,51,M,Married,3,40,Masters,SE,Owned,100,51,0
833334789,43,F,Married,1,55,Masters,SE,Rented,115,19,0
900107201,41,F,Married,5,46,Professional,SAL,Rented,115,38,0
537943379,43,M,Married,2,55,Masters,SAL,Rented,107,33,0
576841684,36,F,Married,2,43,Professional,SE_PROF,Rented,111,36,0
817454930,29,M,Married,4,28,Bachelor,SE_PROF,Rented,113,50,0
754050473,35,M,Married,2,50,Bachelor,SAL,Rented,96,57,0
939142798,32,M,Married,2,55,Phd,SE_PROF,Owned,96,44,0
587187261,37,M,Married,3,52,Others,SE_PROF,Rented,92,39,0
78368564,36,M,Married,2,50,Masters,SAL,Rented,103,35,0
372055158,33,M,Married,4,54,Bachelor,SE,Rented,82,37,0
712127806,38,M,Married,2,55,Masters,SAL,Rented,97,40,0
276451706,33,F,Married,1,27,Professional,SAL,Owned,113,52,0
474844986,40,M,Married,3,53,Professional,SAL,Rented,94,51,0
450207946,29,M,Married,5,50,Masters,SE,Rented,80,45,0
818990114,29,M,Single,1,37,Bachelor,SE,Rented,77,57,0
815851233,32,M,Married,5,51,Professional,SAL,Owned,106,45,0
255158903,30,M,Married,1,50,Bachelor,SE_PROF,Rented,112,37,0
980337675,20,F,Single,1,40,Bachelor,SAL,Rented,106,44,0
877820556,30,M,Married,5,51,Bachelor,SE,Rented,76,56,0
578573806,19,M,Single,1,36,Masters,SAL,Owned,103,57,0
411290180,25,M,Single,3,27,Masters,SAL,Rented,112,56,0
126854196,36,M,Married,3,52,Professional,SAL,Rented,108,17,0
973545215,41,F,Married,3,39,Professional,SAL,Rented,113,42,0
417512737,40,M,Married,3,51,Masters,SAL,Rented,115,45,0
824199625,30,M,Married,2,52,Masters,SE_PROF,Rented,107,4,0
28904105,48,M,Married,5,43,Phd,SE,Owned,86,42,0
676472750,45,M,Married,4,40,Masters,SAL,Rented,112,25,0
663049762,28,M,Single,2,52,Masters,SE,Rented,54,55,0
230209525,31,M,Married,1,42,Professional,SAL,Rented,93,49,0
23174187,32,M,Married,4,54,Bachelor,SAL,Rented,100,32,0
690596705,22,M,Single,2,32,Masters,SAL,Rented,98,51,0
223109009,50,M,Married,5,24,Bachelor,SAL,Owned,107,51,0
28408728,27,F,Single,2,37,Bachelor,SAL,Rented,106,38,0
510331027,36,M,Married,1,40,Bachelor,SE_PROF,Rented,111,55,0
952237403,43,M,Married,4,51,Professional,SE_PROF,Rented,64,54,0
231595248,35,F,Married,5,50,Bachelor,SAL,Rented,58,56,0
418382739,26,M,Single,1,25,Professional,SE_PROF,Rented,107,58,0
97277643,34,M,Married,5,46,Professional,SE_PROF,Rented,100,31,0
804137508,42,M,Married,3,55,Bachelor,SAL,Owned,91,51,0
634559268,28,M,Single,3,47,Masters,SE_PROF,Rented,84,51,0
851345810,42,M,Married,1,49,Professional,SAL,Rented,71,52,0
