EmployeeID,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance
1,3,4,2
2,3,2,4
3,2,2,1
4,4,4,3
5,4,1,3
6,3,2,2
7,1,3,1
8,1,2,3
9,2,4,3
10,2,1,3
11,3,4,3
12,NA,4,3
13,4,1,3
14,1,2,2
15,4,4,2
16,3,4,4
17,4,3,4
18,1,4,3
19,2,2,2
20,1,1,3
21,3,2,1
22,1,2,2
23,3,3,2
24,2,3,3
25,2,4,2
26,2,4,3
27,1,1,3
28,4,4,3
29,4,3,1
30,4,4,3
31,1,2,3
32,4,4,3
33,3,1,3
34,3,2,3
35,4,2,2
36,4,4,3
37,2,4,2
38,3,2,4
39,3,3,3
40,3,2,2
41,3,NA,3
42,4,2,3
43,4,2,3
44,4,3,3
45,2,1,3
46,2,4,2
47,3,4,2
48,2,2,3
49,4,3,2
50,1,2,3
51,4,3,3
52,3,4,3
53,1,1,3
54,1,1,3
55,3,4,1
56,4,2,3
57,3,1,3
58,3,4,3
59,3,3,3
60,3,2,2
61,3,2,2
62,3,2,3
63,4,3,3
64,4,4,3
65,1,4,2
66,1,4,2
67,4,4,3
68,3,3,3
69,3,4,3
70,4,3,2
71,2,4,2
72,4,3,3
73,3,3,4
74,3,2,3
75,4,3,2
76,3,1,2
77,4,4,3
78,2,4,2
79,2,1,2
80,2,4,3
81,4,3,3
82,2,2,3
83,4,4,2
84,3,4,3
85,3,4,NA
86,4,2,3
87,3,2,3
88,3,4,2
89,4,2,3
90,2,3,3
91,1,4,3
92,4,3,2
93,3,3,3
94,3,2,3
95,1,3,1
96,3,1,3
97,4,3,4
98,3,3,3
99,1,4,3
100,1,2,3
101,4,4,3
102,1,4,3
103,4,3,3
104,4,3,3
105,1,4,2
106,4,3,3
107,3,1,3
108,3,3,4
109,1,2,3
110,4,4,3
111,3,3,3
112,NA,2,3
113,3,2,3
114,4,4,3
115,3,2,3
116,4,2,3
117,2,4,3
118,2,3,3
119,3,4,2
120,4,3,3
121,1,4,2
122,3,4,3
123,4,3,4
124,3,2,3
125,3,NA,3
126,1,2,3
127,2,3,3
128,3,4,3
129,4,1,2
130,4,2,3
131,2,1,3
132,3,2,2
133,1,2,3
134,2,3,3
135,1,1,2
136,3,3,3
137,2,1,1
138,4,4,3
139,3,3,3
140,2,4,3
141,2,3,3
142,4,1,3
143,2,3,3
144,3,1,2
145,2,3,3
146,2,1,3
147,3,1,3
148,1,1,3
149,4,3,3
150,1,4,2
151,4,4,1
152,1,3,3
153,3,4,3
154,1,1,1
155,3,3,2
156,4,4,4
157,1,2,3
158,4,3,2
159,4,4,3
160,3,3,3
161,1,4,1
162,3,4,1
163,2,3,3
164,3,2,4
165,1,4,4
166,3,1,3
167,1,4,2
168,2,3,3
169,3,4,2
170,3,1,4
171,1,4,3
172,1,3,1
173,4,3,3
174,3,3,3
175,4,3,3
176,3,4,3
177,3,2,4
178,2,3,4
179,1,4,3
180,4,2,3
181,4,3,3
182,1,3,3
183,2,1,3
184,2,3,3
185,2,4,2
186,3,3,3
187,2,4,3
188,1,2,3
189,4,4,3
190,2,3,3
191,2,3,3
192,3,3,3
193,2,4,4
194,4,1,2
195,4,2,4
196,NA,3,2
197,4,4,4
198,1,3,3
199,3,4,2
200,2,2,3
201,3,1,3
202,1,3,3
203,1,3,3
204,1,3,3
205,4,4,3
206,3,4,1
207,2,4,4
208,1,3,2
209,2,1,3
210,1,2,3
211,4,1,3
212,4,3,3
213,4,4,3
214,3,3,3
215,2,2,2
216,4,3,3
217,2,4,3
218,1,2,4
219,4,2,3
220,1,2,3
221,2,3,3
222,1,3,3
223,2,1,4
224,2,4,3
225,2,1,1
226,1,4,3
227,1,4,4
228,1,3,2
229,4,3,2
230,4,2,4
231,3,4,3
232,2,4,2
233,3,1,2
234,4,3,3
235,4,1,1
236,1,3,4
237,3,3,3
238,3,1,3
239,3,3,3
240,4,4,4
241,1,3,3
242,3,3,3
243,1,4,2
244,3,3,3
245,4,1,4
246,2,4,2
247,1,1,3
248,3,4,3
249,3,3,3
250,2,3,2
251,2,4,3
252,3,4,1
253,3,2,4
254,2,2,3
255,1,4,3
256,4,3,3
257,1,1,3
258,3,3,3
259,1,1,4
260,4,2,3
261,4,4,3
262,2,4,3
263,2,2,3
264,4,4,3
265,4,4,3
266,4,3,3
267,4,2,4
268,1,3,3
269,4,3,3
270,4,4,2
271,2,3,3
272,2,4,2
273,3,1,3
274,3,4,NA
275,4,1,3
276,4,1,3
277,3,3,3
278,2,4,2
279,1,1,3
280,4,1,2
281,4,3,3
282,4,2,3
283,1,2,3
284,1,1,3
285,3,3,4
286,1,3,3
287,4,3,2
288,3,4,2
289,3,3,3
290,3,3,3
291,4,4,3
292,2,3,3
293,2,1,4
294,3,2,1
295,3,4,2
296,4,4,2
297,4,1,1
298,4,2,3
299,4,4,3
300,4,1,4
301,NA,4,3
302,4,3,1
303,2,1,3
304,3,1,4
305,4,4,2
306,3,4,2
307,2,3,3
308,1,3,3
309,2,3,3
310,4,4,3
311,4,1,3
312,1,1,3
313,4,4,3
314,1,NA,3
315,2,3,2
316,4,1,2
317,2,4,3
318,4,1,3
319,3,4,3
320,4,1,2
321,1,1,3
322,3,1,3
323,1,4,2
324,4,3,3
325,3,2,3
326,3,1,3
327,2,4,2
328,3,1,3
329,3,2,3
330,4,3,3
331,3,3,3
332,2,1,3
333,3,3,4
334,1,1,3
335,3,4,2
336,3,2,3
337,3,3,3
338,4,2,3
339,4,3,3
340,4,4,3
341,3,3,2
342,3,2,3
343,3,3,3
344,1,3,3
345,3,4,2
346,2,3,3
347,2,2,2
348,1,1,2
349,3,4,3
350,3,4,4
351,3,4,2
352,2,1,3
353,3,4,3
354,3,3,4
355,2,2,3
356,3,4,1
357,3,3,3
358,4,4,2
359,1,3,2
360,4,2,2
361,1,1,2
362,1,1,3
363,3,1,2
364,2,4,2
365,2,4,2
366,2,4,2
367,1,4,3
368,4,1,3
369,3,3,2
370,3,4,3
371,4,3,3
372,2,4,3
373,4,4,1
374,1,4,2
375,2,4,3
376,1,1,3
377,3,1,3
378,4,3,3
379,4,2,2
380,4,4,3
381,3,1,4
382,3,1,3
383,1,4,2
384,2,2,3
385,2,2,3
386,3,4,2
387,4,4,3
388,2,3,3
389,1,4,3
390,4,2,3
391,3,4,3
392,4,4,3
393,4,4,2
394,3,4,3
395,1,2,3
396,1,1,3
397,4,4,3
398,4,2,4
399,1,4,1
400,1,4,3
401,2,1,3
402,1,4,3
403,4,4,2
404,1,2,4
405,3,3,2
406,NA,4,2
407,3,4,2
408,4,4,2
409,2,3,4
410,2,4,2
411,3,3,3
412,4,1,1
413,2,3,3
414,2,2,3
415,3,3,3
416,3,1,3
417,3,2,3
418,2,3,4
419,4,4,1
420,1,2,2
421,4,3,2
422,4,3,2
423,2,4,3
424,4,1,3
425,3,2,3
426,3,2,3
427,1,2,2
428,3,1,3
429,4,1,3
430,3,3,3
431,4,2,4
432,1,1,3
433,4,4,1
434,4,2,3
435,3,1,4
436,3,4,3
437,2,4,3
438,1,3,1
439,3,2,2
440,3,4,3
441,3,3,3
442,4,4,2
443,4,3,3
444,3,3,4
445,3,3,4
446,3,4,3
447,4,4,3
448,1,3,3
449,2,2,2
450,3,3,4
451,1,4,3
452,3,1,3
453,4,3,3
454,4,1,3
455,2,4,3
456,4,4,3
457,4,4,2
458,3,2,3
459,1,3,4
460,3,2,3
461,4,1,3
462,4,4,3
463,1,3,3
464,4,3,3
465,3,3,2
466,4,3,3
467,4,3,3
468,3,2,1
469,3,1,3
470,2,4,3
471,3,3,3
472,3,3,2
473,2,1,2
474,4,1,3
475,2,2,3
476,4,4,3
477,2,1,2
478,1,3,3
479,3,3,3
480,4,3,3
481,4,4,3
482,1,4,3
483,2,4,2
484,4,3,NA
485,1,4,3
486,3,4,3
487,1,2,1
488,3,2,3
489,2,3,3
490,NA,4,3
491,2,1,3
492,1,4,3
493,4,4,3
494,4,3,3
495,3,1,3
496,4,1,3
497,2,4,2
498,4,4,4
499,4,3,3
500,2,4,2
501,2,4,1
502,2,2,3
503,3,2,3
504,1,3,2
505,1,1,3
506,3,3,3
507,4,2,3
508,3,3,3
509,2,3,2
510,4,2,2
511,3,1,2
512,1,3,3
513,4,4,3
514,3,3,3
515,1,3,3
516,4,4,2
517,3,1,4
518,3,4,3
519,4,4,3
520,3,1,2
521,4,1,3
522,1,3,4
523,2,1,2
524,1,1,3
525,3,1,2
526,2,3,3
527,3,3,2
528,1,4,3
529,1,3,3
530,4,2,3
531,3,3,4
532,2,1,3
533,4,4,3
534,4,1,3
535,1,3,3
536,1,3,2
537,1,4,2
538,4,4,3
539,4,4,4
540,1,3,2
541,1,2,3
542,4,1,3
543,1,2,3
544,4,3,3
545,4,2,3
546,3,4,3
547,1,4,2
548,2,3,3
549,2,2,3
550,3,3,3
551,3,4,3
552,4,2,2
