EmployeeID,JobInvolvement,PerformanceRating
1,3,3
2,2,4
3,3,3
4,2,3
5,3,3
6,3,3
7,3,4
8,3,4
9,3,4
10,3,3
11,2,3
12,3,3
13,3,3
14,2,3
15,3,3
16,3,3
17,2,3
18,3,3
19,2,3
20,3,3
21,3,3
22,2,4
23,3,3
24,1,3
25,3,3
26,3,3
27,3,4
28,3,3
29,2,3
30,2,3
31,2,3
32,2,3
33,3,3
34,3,3
35,3,3
36,3,3
37,3,3
38,3,3
39,2,3
40,2,3
41,2,3
42,2,3
43,3,3
44,3,3
45,2,4
46,3,3
47,3,4
48,3,4
49,3,4
50,2,3
51,2,3
52,2,3
53,3,4
54,3,3
55,3,3
56,3,3
57,3,4
58,3,3
59,3,4
60,3,3
61,3,4
62,4,3
63,4,3
64,4,3
65,3,3
66,2,3
67,3,3
68,2,3
69,3,3
70,3,3
71,3,3
72,4,4
73,3,3
74,3,3
75,3,3
76,3,4
77,3,3
78,3,3
79,3,3
80,3,4
81,2,3
82,2,3
83,3,3
84,3,3
85,3,3
86,3,3
87,4,3
88,2,4
89,3,3
90,4,3
91,1,4
92,2,4
93,2,3
94,3,3
95,2,3
96,3,3
97,3,4
98,3,3
99,3,3
100,2,3
101,1,4
102,3,3
103,1,3
104,3,3
105,1,3
106,1,4
107,4,3
108,3,3
109,4,3
110,3,3
111,2,4
112,3,4
113,3,3
114,4,3
115,3,3
116,3,3
117,2,3
118,3,3
119,3,4
120,3,3
121,3,4
122,3,3
123,3,3
124,3,3
125,3,3
126,2,3
127,3,3
128,2,3
129,3,3
130,2,3
131,2,3
132,2,3
133,3,3
134,2,3
135,2,4
136,3,4
137,2,3
138,2,3
139,3,3
140,4,3
141,2,4
142,3,3
143,1,4
144,3,3
145,3,3
146,2,3
147,2,3
148,3,3
149,2,4
150,3,3
151,3,3
152,2,3
153,3,4
154,3,3
155,2,3
156,3,3
157,2,3
158,3,4
159,3,3
160,2,3
161,4,4
162,2,3
163,3,3
164,2,3
165,3,3
166,3,3
167,3,3
168,3,3
169,3,4
170,3,4
171,2,3
172,2,4
173,3,3
174,3,3
175,4,3
176,2,3
177,3,3
178,2,4
179,3,4
180,3,3
181,1,4
182,2,3
183,4,4
184,2,3
185,3,3
186,3,3
187,3,3
188,3,3
189,2,3
190,2,3
191,3,3
192,3,3
193,2,3
194,3,3
195,3,4
196,3,3
197,2,3
198,3,3
199,3,3
200,4,3
201,2,3
202,2,3
203,2,3
204,2,3
205,2,3
206,1,4
207,3,3
208,3,3
209,3,3
210,3,3
211,3,3
212,2,4
213,2,3
214,3,3
215,3,3
216,1,3
217,2,3
218,3,3
219,1,3
220,3,3
221,2,3
222,3,4
223,3,3
224,3,3
225,2,3
226,3,3
227,3,3
228,3,3
229,3,3
230,1,3
231,3,3
232,3,3
233,4,3
234,3,3
235,4,3
236,4,4
237,2,4
238,3,3
239,1,3
240,3,3
241,2,3
242,3,3
243,3,3
244,3,3
245,2,3
246,3,3
247,3,3
248,4,3
249,2,3
250,3,3
251,3,3
252,3,4
253,2,3
254,2,3
255,1,3
256,2,3
257,3,3
258,4,3
259,3,3
260,3,3
261,2,4
262,2,3
263,4,3
264,3,3
265,4,3
266,4,3
267,3,4
268,1,3
